SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit,return_percent
NVEC,145616.64,147838.51,74,2221.87,1.525835234
UBOH,145069.83,147280.34,73,2210.51,1.523755835
CABO,79395.21,80603.47,53,1208.26,1.521829843
TCS,129683.15,131651.89,65,1968.74,1.518115499
CAL,57698.84,58573.02,29,874.18,1.515073787
LSTR,98476.78,99967.42,51,1490.64,1.513696934
LBC,41876.93,42510.75,21,633.82,1.513530242
ORRF,111490.38,113172.59,56,1682.21,1.5088387
FNV,52052.47,52837.24,27,784.77,1.507651798
WASH,93184.67,94576.13,47,1391.46,1.493228446
WTBA,51631.61,52402.15,26,770.54,1.492380346
TOWN,85509.43,86784.66,43,1275.23,1.491332593
JRSH,113846.21,115542.42,57,1696.21,1.489913454
DFH,119510.46,121286.31,60,1775.85,1.485936879
BRC,106707.94,108289.35,54,1581.41,1.481998434
WSO,109159.31,110769.9,58,1610.59,1.475449048
FBP,39860.86,40447.85,20,586.99,1.47259743
AX,79315.73,80479.05,40,1163.32,1.466695194
MBWM,83466.64,84688.36,42,1221.72,1.463722512
SFBS,47462.72,48152.38,24,689.66,1.453056209
TMHC,55588.94,56383.26,28,794.32,1.428917335
CNHI,45845.22,46499.52,23,654.3,1.4271935
FIGS,93710.4,95047.58,47,1337.18,1.426928068
AFGC,45678.69,46329.83,23,651.14,1.425478708
RELX,77557.5,78657.58,39,1100.08,1.418405699
CTSH,98561.78,99954.12,50,1392.34,1.412657117
COFS,83470.42,84649.14,42,1178.72,1.412140972
URBN,97458.57,98827.88,49,1369.31,1.405017537
BABA,153985.22,156147.81,80,2162.59,1.404414008
REYN,61560.16,62421.79,31,861.63,1.399655232
WB,235540.21,238836.94,119,3296.73,1.39964637
INGR,80460.19,81585.78,41,1125.59,1.398940271
FOXA,132970.48,134829.75,67,1859.27,1.398257719
INVA,145488.25,147522.53,73,2034.28,1.398243501
ARKOW,31984.46,32427.74,16,443.28,1.385923039
PYPL,82284.28,83419.99,42,1135.71,1.380227183
CATC,96408.85,97729.75,49,1320.9,1.370102434
COLM,80134.04,81229.66,41,1095.62,1.367234199
LYB,93891.97,95174.72,48,1282.75,1.36619777
CFB,53789.99,54524.6,27,734.61,1.365700198
SCVL,184957.42,187481.06,93,2523.64,1.364443773
ZGN,37904.12,38420.33,19,516.21,1.361883616
FOX,126967.17,128696.3,64,1729.13,1.361871734
CNOB,51604.11,52303.6,26,699.49,1.355492809
ONON,79541.36,80619.24,40,1077.88,1.355118897
VAC,34664.88,35134.32,18,469.44,1.354223641
MS,33061.98,33509.06,17,447.08,1.352248111
CLX,82847.07,83964.79,43,1117.72,1.349136427
DIN,135354.21,137167.73,69,1813.52,1.339832725
AUBN,128646.34,130368.81,65,1722.47,1.338918775
GIII,59670.76,60463.78,30,793.02,1.328992626
ABCL,183021.59,185451.51,92,2429.92,1.327668501
SGU,73843.5,74822.59,37,979.09,1.325898691
